"date","location","observation","age_group","target"
2026-05-30,"10",0,"0-4","inc hosp"
2026-05-30,"10",0,"5-17","inc hosp"
2026-05-30,"10",0,"18-49","inc hosp"
2026-05-30,"10",0,"50-64","inc hosp"
2026-05-30,"10",1,"65-130","inc hosp"
2026-06-06,"10",0,"0-4","inc hosp"
2026-06-06,"10",0,"5-17","inc hosp"
2026-06-06,"10",0,"18-49","inc hosp"
2026-06-06,"10",0,"50-64","inc hosp"
2026-06-06,"10",0,"65-130","inc hosp"
2026-06-13,"10",1,"0-4","inc hosp"
2026-06-13,"10",0,"5-17","inc hosp"
2026-06-13,"10",0,"18-49","inc hosp"
2026-06-13,"10",0,"50-64","inc hosp"
2026-06-13,"10",0,"65-130","inc hosp"
2026-06-20,"10",0,"0-4","inc hosp"
2026-06-20,"10",0,"5-17","inc hosp"
2026-06-20,"10",0,"18-49","inc hosp"
2026-06-20,"10",0,"50-64","inc hosp"
2026-06-20,"10",0,"65-130","inc hosp"
